"SITE_ID","SITE_NAME","DATABASE_NAME","DOMAIN","PRIORITY"
"156","prometcollege","znldhr156","prometcollege.pdx.acsitefactory.com","5"
"186","admissions","znldhr186","admissions.pdx.acsitefactory.com","1"
"726","psuonline","znldhr726","psuonline.pdx.acsitefactory.com","2"
"731","training","znldhr731","training.pdx.acsitefactory.com","5"
"736","gradschool","znldhr736","gradschool.pdx.acsitefactory.com","1"
"746","honors","znldhr746","honors.pdx.acsitefactory.com","2"
"751","housing","znldhr751","housing.pdx.acsitefactory.com","4"
"756","president","znldhr756","president.pdx.acsitefactory.com","1"
"761","research","znldhr761","research.pdx.acsitefactory.com","3"
"766","informationtechnology","znldhr766","informationtechnology.pdx.acsitefactory.com","2"
"771","studenthealthcounseling","znldhr771","studenthealthcounseling.pdx.acsitefactory.com","2"
"781","ondeck","znldhr781","ondeck.pdx.acsitefactory.com","-"
"786","studentlife","znldhr786","studentlife.pdx.acsitefactory.com","5"
"791","accessibility","znldhr791","accessibility.pdx.acsitefactory.com","3"
"796","studentfinance","znldhr796","studentfinance.pdx.acsitefactory.com","2"
"801","visit","znldhr801","visit.pdx.acsitefactory.com","2"
"806","syndication","znldhr806","syndication.pdx.acsitefactory.com","5"
"821","facultyexperts","znldhr821","facultyexperts.pdx.acsitefactory.com","5"
"1646","careers","znldhr1646","careers.pdx.acsitefactory.com","2"
"1661","commencement","znldhr1661","commencement.pdx.acsitefactory.com","5"
"1666","communication","znldhr1666","communication.pdx.acsitefactory.com","3"
"1671","computerscience","znldhr1671","computerscience.pdx.acsitefactory.com","3"
"1676","conflictresolution","znldhr1676","conflictresolution.pdx.acsitefactory.com","5"
"1696","coop","znldhr1696","coop.pdx.acsitefactory.com","5"
"1701","deanstudentlife","znldhr1701","deanstudentlife.pdx.acsitefactory.com","3"
"1706","economics","znldhr1706","economics.pdx.acsitefactory.com","3"
"1716","educationabroad","znldhr1716","educationabroad.pdx.acsitefactory.com","5"
"1721","engineering","znldhr1721","engineering.pdx.acsitefactory.com","2"
"1731","englishlanguageprogram","znldhr1731","englishlanguageprogram.pdx.acsitefactory.com","3"
"1751","extremeenvironments","znldhr1751","extremeenvironments.pdx.acsitefactory.com","5"
"1761","financialservices","znldhr1761","financialservices.pdx.acsitefactory.com","1"
"1766","geographictechnology","znldhr1766","geographictechnology.pdx.acsitefactory.com","5"
"1776","governmentrelations","znldhr1776","governmentrelations.pdx.acsitefactory.com","4"
"1786","history","znldhr1786","history.pdx.acsitefactory.com","3"
"1791","homelessness","znldhr1791","homelessness.pdx.acsitefactory.com","5"
"1806","registration","znldhr1806","registration.pdx.acsitefactory.com","1"
"1821","internationalstudents","znldhr1821","internationalstudents.pdx.acsitefactory.com","5"
"1826","iroquoisdemocracy","znldhr1826","iroquoisdemocracy.pdx.acsitefactory.com","5"
"1831","jiaolab","znldhr1831","jiaolab.pdx.acsitefactory.com","5"
"1851","senioradultlearningcenter","znldhr1851","senioradultlearningcenter.pdx.acsitefactory.com","5"
