Acquia hostname (SiteFactory URL),Status,Priority Level,,
www.pdx.edu,Done,0,,
pdx.edu,done,0,,
training.pdx.acsitefactory.com,Done,0,,
academicaffairs.pdx.acsitefactory.com,Done,1,,
admissions.pdx.acsitefactory.com,Done,1,,
advising.pdx.acsitefactory.com,Done,1,,
campussafety.pdx.acsitefactory.com,done,1,,
financialservices.pdx.acsitefactory.com,Done,1,,
gradschool.pdx.acsitefactory.com,Done,1,,
president.pdx.acsitefactory.com,Done,1,,
registration.pdx.acsitefactory.com,Done,1,,
arts.pdx.acsitefactory.com,Done,2,,
business.pdx.acsitefactory.com,done,2,,
careers.pdx.acsitefactory.com,done,2,,
disabilityresourcecenter.pdx.acsitefactory.com,done,2,,
education.pdx.acsitefactory.com,done,2,,
engineering.pdx.acsitefactory.com,done,2,,
executiveeducation.pdx.acsitefactory.com,done,2,,
hatfieldschool.pdx.acsitefactory.com,done,2,,
honors.pdx.acsitefactory.com,done,2,,
humanresources.pdx.acsitefactory.com,done,2,,
informationtechnology.pdx.acsitefactory.com,done,2,,
learningcenter.pdx.acsitefactory.com,done,2,,
liberalartssciences.pdx.acsitefactory.com,done,2,,
psuonline.pdx.acsitefactory.com,done,2,,
sexualassault.pdx.acsitefactory.com,done,2,,
socialwork.pdx.acsitefactory.com,done,2,,
studentfinance.pdx.acsitefactory.com,done,2,,
studenthealthcounseling.pdx.acsitefactory.com,done,2,,
visit.pdx.acsitefactory.com,done,2,,
accessibility.pdx.acsitefactory.com,done,3,,
anthropology.pdx.acsitefactory.com,done,3,,
appliedlinguistics.pdx.acsitefactory.com,done,3,,
architecture.pdx.acsitefactory.com,done,3,,
architectureengineeriningconst.pdx.acsitefactory.com,done,3,,
artdesign.pdx.acsitefactory.com,done,3,,
asianstudies.pdx.acsitefactory.com,done,3,,
biology.pdx.acsitefactory.com,done,3,,
blackstudies.pdx.acsitefactory.com,done,3,,
chemistry.pdx.acsitefactory.com,done,3,,
chicanolatinostudies.pdx.acsitefactory.com,done,3,,
childlanguagelearningcenter.pdx.acsitefactory.com,done,3,,
civilenvironmentalengineering.pdx.acsitefactory.com,done,3,,
comicsstudies.pdx.acsitefactory.com,done,3,,
communication.pdx.acsitefactory.com,done,3,,
computerscience.pdx.acsitefactory.com,done,3,,
creativewriting.pdx.acsitefactory.com,done,3,,
criminologycriminaljustice.pdx.acsitefactory.com,done,3,,
deanstudentlife.pdx.acsitefactory.com,done,3,,
economics.pdx.acsitefactory.com,done,3,,
electricalcomputerengineering.pdx.acsitefactory.com,done,3,,
emergencymanagement.pdx.acsitefactory.com,done,3,,
emsait.pdx.acsitefactory.com,done,3,,
engineeringtechmanagement.pdx.acsitefactory.com,done,3,,
english.pdx.acsitefactory.com,done,3,,
englishlanguageprogram.pdx.acsitefactory.com,done,3,,
environmentalscience.pdx.acsitefactory.com,done,3,,
facilities.pdx.acsitefactory.com,done,3,,
film.pdx.acsitefactory.com,Done,3,,
genderracenations.pdx.acsitefactory.com,Done,3,,
geography.pdx.acsitefactory.com,Done,3,,
geographyeducation.pdx.acsitefactory.com,Done,3,,
geology.pdx.acsitefactory.com,Done,3,,
globalstudies.pdx.acsitefactory.com,Done,3,,
healthsafety.pdx.acsitefactory.com,Done,3,,
history.pdx.acsitefactory.com,Done,3,,
japanesestudies.pdx.acsitefactory.com,Done,3,,
judaicstudies.pdx.acsitefactory.com,Done,3,,
math.pdx.acsitefactory.com,Done,3,,
mechanicalmaterialsengineering.pdx.acsitefactory.com,Done,3,,
middleeaststudies.pdx.acsitefactory.com,Done,3,,
musictheater.pdx.acsitefactory.com,Done,3,,
philosophy.pdx.acsitefactory.com,Done,3,,
physics.pdx.acsitefactory.com,Done,3,,
politicalscience.pdx.acsitefactory.com,Done,3,,Update complete
prehealth.pdx.acsitefactory.com,Done,3,,
psychology.pdx.acsitefactory.com,Done,3,,
publicinterestdesign.pdx.acsitefactory.com,Done,3,,
queerresourcecenter.pdx.acsitefactory.com,Done,3,,
recreation.pdx.acsitefactory.com,Done,3,,
research.pdx.acsitefactory.com,Done,3,,
russianflagship.pdx.acsitefactory.com,Done,3,,
sciencetechnologyengineering.pdx.acsitefactory.com,Done,3,,
sociology.pdx.acsitefactory.com,Done,3,,
speechhearingsciences.pdx.acsitefactory.com,Done,3,,
studentswithchildren.pdx.acsitefactory.com,Done,3,,
systemsscience.pdx.acsitefactory.com,Done,3,,
transportation.pdx.acsitefactory.com,Done,3,,
turkishstudiescenter.pdx.acsitefactory.com,Done,3,,
universitystudies.pdx.acsitefactory.com,Done,3,,
urbanpublicaffairs.pdx.acsitefactory.com,Done,3,,
urbanstudies.pdx.acsitefactory.com,Done,3,,
urbanstudiesplanning.pdx.acsitefactory.com,Done,3,,
womengendersexualitystudies.pdx.acsitefactory.com,Done,3,,
worldlanguages.pdx.acsitefactory.com,Done,3,,
writingcenter.pdx.acsitefactory.com,Done,3,,
academicinnovation.pdx.acsitefactory.com,done,4,,
bikehub.pdx.acsitefactory.com,done,4,,
centerchildfamily.pdx.acsitefactory.com,done,4,,
communityenvironmentalservices.pdx.acsitefactory.com,done,4,,
construction.pdx.acsitefactory.com,done,4,,
culturalresourcecenters.pdx.acsitefactory.com,done,4,,
financeadministration.pdx.acsitefactory.com,done,4,,
generalcounsel.pdx.acsitefactory.com,done,4,,
governmentrelations.pdx.acsitefactory.com,done,4,,
helengordoncenter.pdx.acsitefactory.com,done,4,,
housing.pdx.acsitefactory.com,Done,4,,
mcnairprogram.pdx.acsitefactory.com,Done,4,,
multiculturalretentionservices.pdx.acsitefactory.com,Done,4,,
policies.pdx.acsitefactory.com,Done,4,,
publicadministration.pdx.acsitefactory.com,Done,4,,
purchasingcontracting.pdx.acsitefactory.com,Done,4,,
reserveofficerstrainingcorp.pdx.acsitefactory.com,Done,4,,
smithstudentunion.pdx.acsitefactory.com,Done,4,,
studentaffairs.pdx.acsitefactory.com,Done,4,,
studentlegalservices.pdx.acsitefactory.com,Done,4,,
transfercenter.pdx.acsitefactory.com,Done,4,,
universitycommunications.pdx.acsitefactory.com,Done,4,,
veteransresourcecenter.pdx.acsitefactory.com,Done,4,,
womensresourcecenter.pdx.acsitefactory.com,Done,4,,
accelerator.pdx.acsitefactory.com,done,5,,
agilerobotics.pdx.acsitefactory.com,done,5,,
allianceminorityparticipation.pdx.acsitefactory.com,done,5,,
alumni.pdx.acsitefactory.com,done,5,,
board.pdx.acsitefactory.com,done,5,,
budget.pdx.acsitefactory.com,done,5,,
buildings.pdx.acsitefactory.com,done,5,,
campusplanning.pdx.acsitefactory.com,done,5,,
centerclimateaerosolresearch.pdx.acsitefactory.com,done,5,,
centerforlakesandreservoirs.pdx.acsitefactory.com,done,5,,
centerforpublicservice.pdx.acsitefactory.com,done,5,,
challengeprogram.pdx.acsitefactory.com,done,5,,
cleantechchallenge.pdx.acsitefactory.com,done,5,,
commencement.pdx.acsitefactory.com,done,5,,
conferencesevents.pdx.acsitefactory.com,done,5,,
conflictresolution.pdx.acsitefactory.com,done,5,,
confuciusinstitute.pdx.acsitefactory.com,done,5,,
coop.pdx.acsitefactory.com,done,5,,
criminaljusticepolicyresearch.pdx.acsitefactory.com,done,5,,
currently.pdx.acsitefactory.com,done,5,,
digitalcity.pdx.acsitefactory.com,done,5,,
diversity.pdx.acsitefactory.com,done,5,,
diversitymulticulturalstudents.pdx.acsitefactory.com,done,5,,
dreamers.pdx.acsitefactory.com,done,5,,
earlychildhoodeducationhub.pdx.acsitefactory.com,done,5,,
educationabroad.pdx.acsitefactory.com,done,5,,
educationcareerdevelopment.pdx.acsitefactory.com,done,5,,
electronmicroscopy.pdx.acsitefactory.com,done,5,,
entrepreneurship.pdx.acsitefactory.com,done,5,,
