id  site                            db_name     domain
----  ------------------------------  ----------  ----------------------------------------------------
2426  japanesestudies                 znldhr2426  japanesestudies.pdx.acsitefactory.com
2431  centerforpublicservice          znldhr2431  centerforpublicservice.pdx.acsitefactory.com
2456  urbanstudies                    znldhr2456  urbanstudies.pdx.acsitefactory.com
2461  executiveeducation              znldhr2461  executiveeducation.pdx.acsitefactory.com
2466  education                       znldhr2466  education.pdx.acsitefactory.com
2471  board                           znldhr2471  board.pdx.acsitefactory.com
2476  anthropology                    znldhr2476  anthropology.pdx.acsitefactory.com
2511  disabilityresourcecenter        znldhr2511  disabilityresourcecenter.pdx.acsitefactory.com
2596  internationalprograms           znldhr2596  internationalprograms.pdx.acsitefactory.com
2616  liberalartssciencesit           znldhr2616  liberalartssciencesit.pdx.acsitefactory.com
2661  policies                        znldhr2661  policies.pdx.acsitefactory.com
2671  politicalscience                znldhr2671  politicalscience.pdx.acsitefactory.com
2686  queerresourcecenter             znldhr2686  queerresourcecenter.pdx.acsitefactory.com
2731  studentaffairs                  znldhr2731  studentaffairs.pdx.acsitefactory.com
2741  studentleadership               znldhr2741  studentleadership.pdx.acsitefactory.com
2751  studentsustainabilitycenter     znldhr2751  studentsustainabilitycenter.pdx.acsitefactory.com
2781  transportationresearch          znldhr2781  transportationresearch.pdx.acsitefactory.com
2816  worldlanguages                  znldhr2816  worldlanguages.pdx.acsitefactory.com
2826  youthmentoring                  znldhr2826  youthmentoring.pdx.acsitefactory.com
2831  humanresources                  znldhr2831  humanresources.pdx.acsitefactory.com
2901  arts                            znldhr2901  arts.pdx.acsitefactory.com
2921  financeadministration           znldhr2921  financeadministration.pdx.acsitefactory.com
2931  healthsafety                    znldhr2931  healthsafety.pdx.acsitefactory.com
2961  creativewriting                 znldhr2961  creativewriting.pdx.acsitefactory.com
2981  helengordoncenter               znldhr2981  helengordoncenter.pdx.acsitefactory.com
2991  foodcarts                       znldhr2991  foodcarts.pdx.acsitefactory.com
3006  speechhearingsciences           znldhr3006  speechhearingsciences.pdx.acsitefactory.com
3016  transportation                  znldhr3016  transportation.pdx.acsitefactory.com
3021  facultysenate                   znldhr3021  facultysenate.pdx.acsitefactory.com
3046  instituteonaging                znldhr3046  instituteonaging.pdx.acsitefactory.com
3051  digitalcity                     znldhr3051  digitalcity.pdx.acsitefactory.com
3071  criminologycriminaljustice      znldhr3071  criminologycriminaljustice.pdx.acsitefactory.com
3081  internationalscholars           znldhr3081  internationalscholars.pdx.acsitefactory.com
3096  museumofart                     znldhr3096  museumofart.pdx.acsitefactory.com
3101  risk                            znldhr3101  risk.pdx.acsitefactory.com
3126  middleeaststudies               znldhr3126  middleeaststudies.pdx.acsitefactory.com
3146  researchexperience              znldhr3146  researchexperience.pdx.acsitefactory.com
3151  sciencetechnologyengineering    znldhr3151  sciencetechnologyengineering.pdx.acsitefactory.com
3156  multiculturalretentionservices  znldhr3156  multiculturalretentionservices.pdx.acsitefactory.com
3181  sustainability                  znldhr3181  sustainability.pdx.acsitefactory.com
3191  transfercenter                  znldhr3191  transfercenter.pdx.acsitefactory.com
3211  triostudentsupportservices      znldhr3211  triostudentsupportservices.pdx.acsitefactory.com
3236  womensresourcecenter            znldhr3236  womensresourcecenter.pdx.acsitefactory.com
3241  writingcenter                   znldhr3241  writingcenter.pdx.acsitefactory.com
3251  realestate                      znldhr3251  realestate.pdx.acsitefactory.com
3256  prehealth                       znldhr3256  prehealth.pdx.acsitefactory.com
3261  populationresearch              znldhr3261  populationresearch.pdx.acsitefactory.com
3276  instititutenaturalresources     znldhr3276  instititutenaturalresources.pdx.acsitefactory.com
3306  metropolitanstudies             znldhr3306  metropolitanstudies.pdx.acsitefactory.com
3316  smithstudentunion               znldhr3316  smithstudentunion.pdx.acsitefactory.com
3321  heroines                        znldhr3321  heroines.pdx.acsitefactory.com
3331  researchbaseddesign             znldhr3331  researchbaseddesign.pdx.acsitefactory.com
3361  veteransresourcecenter          znldhr3361  veteransresourcecenter.pdx.acsitefactory.com
3366  womengendersexualitystudies     znldhr3366  womengendersexualitystudies.pdx.acsitefactory.com
3381  comicsstudies                   znldhr3381  comicsstudies.pdx.acsitefactory.com
3386  institutionalassessmentcouncil  znldhr3386  institutionalassessmentcouncil.pdx.acsitefactory.com
3391  learningcenter                  znldhr3391  learningcenter.pdx.acsitefactory.com
3396  diversity                       znldhr3396  diversity.pdx.acsitefactory.com
3411  podrabskylab                    znldhr3411  podrabskylab.pdx.acsitefactory.com
3416  policyconsensuscenter           znldhr3416  policyconsensuscenter.pdx.acsitefactory.com
3421  planningcontructionrealestate   znldhr3421  planningcontructionrealestate.pdx.acsitefactory.com
3431  trioprecollege                  znldhr3431  trioprecollege.pdx.acsitefactory.com
3436  tribalgovernment                znldhr3436  tribalgovernment.pdx.acsitefactory.com
3441  academicinnovation              znldhr3441  academicinnovation.pdx.acsitefactory.com
3471  educationcareerdevelopment      znldhr3471  educationcareerdevelopment.pdx.acsitefactory.com
3486  museumofnaturalhistory          znldhr3486  museumofnaturalhistory.pdx.acsitefactory.com
3491  studentswithchildren            znldhr3491  studentswithchildren.pdx.acsitefactory.com
3506  studentlegalservices            znldhr3506  studentlegalservices.pdx.acsitefactory.com
3541  challengeprogram                znldhr3541  challengeprogram.pdx.acsitefactory.com
3546  chicanolatinostudies            znldhr3546  chicanolatinostudies.pdx.acsitefactory.com
3551  childlanguagelearningcenter     znldhr3551  childlanguagelearningcenter.pdx.acsitefactory.com
3561  communityenvironmentalservices  znldhr3561  communityenvironmentalservices.pdx.acsitefactory.com
3566  conferencesevents               znldhr3566  conferencesevents.pdx.acsitefactory.com
3576  culturalresourcecenters         znldhr3576  culturalresourcecenters.pdx.acsitefactory.com
3581  diversitymulticulturalstudents  znldhr3581  diversitymulticulturalstudents.pdx.acsitefactory.com
3591  english                         znldhr3591  english.pdx.acsitefactory.com
3616  genderracenations               znldhr3616  genderracenations.pdx.acsitefactory.com
3621  generalcounsel                  znldhr3621  generalcounsel.pdx.acsitefactory.com
3681  blackstudies                    znldhr3681  blackstudies.pdx.acsitefactory.com
3696  civilenvironmentalengineering   znldhr3696  civilenvironmentalengineering.pdx.acsitefactory.com
3731  geography                       znldhr3731  geography.pdx.acsitefactory.com
3736  globalstudies                   znldhr3736  globalstudies.pdx.acsitefactory.com
3756  indigenousnationsstudies        znldhr3756  indigenousnationsstudies.pdx.acsitefactory.com
3776  studentcommunityengagement      znldhr3776  studentcommunityengagement.pdx.acsitefactory.com
3801  centerclimateaerosolresearch    znldhr3801  centerclimateaerosolresearch.pdx.acsitefactory.com
3811  confuciusinstitute              znldhr3811  confuciusinstitute.pdx.acsitefactory.com
3831  facilities                      znldhr3831  facilities.pdx.acsitefactory.com
3846  geology                         znldhr3846  geology.pdx.acsitefactory.com
3861  accelerator                     znldhr3861  accelerator.pdx.acsitefactory.com
3866  systemsscience                  znldhr3866  systemsscience.pdx.acsitefactory.com
3891  fellowships                     znldhr3891  fellowships.pdx.acsitefactory.com
3896  currently                       znldhr3896  currently.pdx.acsitefactory.com
3901  psumagazine                     znldhr3901  psumagazine.pdx.acsitefactory.com
3906  microbialecology                znldhr3906  microbialecology.pdx.acsitefactory.com
3936  fireprevention                  znldhr3936  fireprevention.pdx.acsitefactory.com
3941  landscapeassessmentmapping      znldhr3941  landscapeassessmentmapping.pdx.acsitefactory.com
3956  allianceminorityparticipation   znldhr3956  allianceminorityparticipation.pdx.acsitefactory.com
3961  electricalcomputerengineering   znldhr3961  electricalcomputerengineering.pdx.acsitefactory.com
3966  entrepreneurship                znldhr3966  entrepreneurship.pdx.acsitefactory.com
